TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,CM,NSE,STK,13870,INE529I01021,KUANTUM,EQ,,,,,KUANTUM PAPERS LIMITED,86.99,89.15,85.83,88.57,88.9,85.97,,88.57,,,40777,3573758.87,918,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,24948,INE498L01015,LTF,EQ,,,,,L&T FINANCE LIMITED,289.0,295.3,285.3,288.0,287.0,287.3,,288.0,,,6502459,1895654315.5,70669,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,18564,INE010V01017,LTTS,EQ,,,,,L&T TECHNOLOGY SER. LTD.,3890.0,3890.0,3818.0,3837.9,3827.0,3881.4,,3837.9,,,56299,216132126.3,11172,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,14423,INE059D01020,LAOPALA,EQ,,,,,LA OPALA RG LIMITED,193.92,195.29,191.5,192.47,192.0,193.92,,192.5,,,28006,5409143.15,1063,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,5865,INE548Z01017,LAGNAM,EQ,,,,,LAGNAM SPINTEX LIMITED,68.01,68.01,65.5,65.5,65.5,65.88,,65.5,,,2406,160858.45,93,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,7902,INE850E01012,LFIC,EQ,,,,,LAKSHMI FIN IND CORP LTD,145.31,145.8,141.02,141.29,141.1,145.25,,141.29,,,1071,152722.98,76,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6407,INE112F01022,LAMBODHARA,EQ,,,,,LAMBODHARA TEXTILES LTD.,102.8,102.8,99.0,100.63,100.6,101.88,,100.6,,,5288,532435.89,155,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13276,INE559R01029,LANDMARK,EQ,,,,,LANDMARK CARS LIMITED,363.85,366.05,345.3,349.45,347.0,361.15,,349.45,,,144006,50920097.3,8247,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,16863,INE197J01017,LPDC,EQ,,,,,LANDMARK PR.DEV.CO.LTD,6.53,6.74,6.21,6.43,6.5,6.49,,6.43,,,33458,212842.96,176,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11483,INE018A01030,LT,EQ,,,,,LARSEN & TOUBRO LTD.,3798.0,3799.4,3720.1,3743.8,3750.0,3793.8,,3743.85,,,1898703,7116215566.8,87816,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,21713,INE670X01014,LASA,EQ,,,,,LASA SUPERGENERICS LTD,9.42,9.75,8.95,9.05,9.05,9.42,,9.05,,,81575,741793.29,188,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6818,INE0I7C01011,LATENTVIEW,EQ,,,,,LATENT VIEW ANALYTICS LTD,408.0,408.0,379.0,391.95,390.05,405.8,,391.95,,,326068,128249356.6,15180,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,19234,INE947Q01028,LAURUSLABS,EQ,,,,,LAURUS LABS LIMITED,1017.9,1044.8,1000.0,1016.4,1030.0,1005.8,,1016.4,,,4200801,4296313445.2,85970,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6568,INE801V01019,LAXMICOT,EQ,,,,,LAXMI COTSPIN LIMITED,14.38,14.72,13.61,13.78,13.93,14.38,,13.78,,,13160,184405.74,207,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,29171,INE0WO601020,LAXMIDENTL,EQ,,,,,LAXMI DENTAL LIMITED,218.9,220.7,205.05,207.7,206.0,218.9,,207.7,,,228173,48086665.7,8836,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,19876,INE258Y01016,LGHL,EQ,,,,,LAXMI GOLDORNA HOUSE LTD,278.05,285.15,262.25,267.5,263.75,280.4,,267.5,,,104355,28627027.6,1304,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,758863,INE06WU01026,LAXMIINDIA,EQ,,,,,LAXMI INDIA FINANCE LTD,99.33,99.59,92.61,93.38,93.6,97.86,,93.4,,,148050,14063669.99,2715,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2841,INE576O01020,LXCHEM,EQ,,,,,LAXMI ORGANIC INDUS LTD,145.18,145.4,138.0,138.61,139.9,143.55,,138.6,,,301077,42272985.03,5831,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,760300,INE0G1L01017,LEMERITE,EQ,,,,,LE MERITE EXPORTS LIMITED,465.65,479.35,455.0,459.9,455.0,458.75,,459.9,,,38761,17849822.4,579,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,24067,INE0HV901016,IXIGO,EQ,,,,,LE TRAVENUES TECHNOLOGY L,241.9,247.5,191.5,204.55,203.5,235.85,,204.55,,,21346874,4542354368.0,246459,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,757014,INE0AQ201015,THELEELA,EQ,,,,,LEELA PALACES HOTEL LTD,413.85,413.85,402.25,408.05,406.75,405.4,,408.0,,,123819,50279748.15,11481,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2606,INE970X01018,LEMONTREE,EQ,,,,,LEMON TREE HOTELS LTD,129.5,130.36,123.55,124.03,124.17,129.22,,124.05,,,4145408,522174245.25,44829,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,759605,INE956O01016,LENSKART,EQ,,,,,LENSKART SOLUTIONS LTD,439.6,442.75,421.0,423.95,421.45,440.65,,424.0,,,921841,397204181.25,24861,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,14459,INE500X01013,LEXUS,EQ,,,,,LEXUS GRANITO (INDIA) LTD,26.15,26.15,25.09,25.3,25.3,25.5,,25.3,,,2855,72069.2,28,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,18321,INE337A01034,LGBBROSLTD,EQ,,,,,LG BALAKRISHNAN & BROS,1741.7,1752.5,1710.6,1730.0,1730.0,1744.3,,1730.0,,,39618,68773910.2,7245,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,760213,INE324D01010,LGEINDIA,EQ,,,,,LG ELECTRONICS INDIA LTD,1380.0,1408.0,1379.1,1399.9,1399.1,1377.8,,1399.9,,,778477,1089380759.3,27330,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11082,INE908V01012,LIBAS,EQ,,,,,LIBAS CONSU PRODUCTS LTD,10.0,10.58,10.0,10.12,10.16,10.02,,10.12,,,18607,187434.66,110,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1994,INE557B01019,LIBERTSHOE,EQ,,,,,LIBERTY SHOES LTD,238.75,238.75,226.5,229.15,230.0,233.75,,229.15,,,8722,2026389.95,510,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1997,INE115A01026,LICHSGFIN,EQ,,,,,LIC HOUSING FINANCE LTD,517.1,521.0,504.7,506.45,506.45,517.1,,506.45,,,990874,507383878.4,19621,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,25640,INF397L01554,LICMFGOLD,EQ,,,,,LIC MF - LIC GOLD ETF,14149.0,14769.3,13877.05,13985.15,13999.1,13672.45,,13985.58,,,4584,64498537.0,1337,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11319,INF767K01OS7,LICNETFN50,EQ,,,,,LICNAMC - LICNFENGP,281.78,283.16,279.83,279.83,279.83,282.16,,279.83,,,981,275802.79,30,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11441,INF767K01OT5,LICNETFSEN,EQ,,,,,LICNAMC - LICNFESGP,922.45,922.45,916.49,917.43,917.43,922.45,,917.43,,,89,81800.39,8,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,15229,INF767K01PC8,LICNFNHGP,EQ,,,,,LICNAMC - LICNFNHGP,283.06,283.06,277.78,277.83,277.78,281.98,,277.83,,,5465,1520822.39,33,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6062,INF767K01MV5,LICNETFGSC,EQ,,,,,LICNAMC - LICNMFET,28.88,28.88,28.66,28.68,28.66,28.71,,28.68,,,17134,491749.31,127,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,22722,INF767K01RN1,LICNMID100,EQ,,,,,LICNAMC - LICNMID100,58.21,58.55,57.13,57.28,57.47,58.04,,57.28,,,6926,397868.31,119,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,9480,INE0J1Y01017,LICI,EQ,,,,,LIFE INSURA CORP OF INDIA,821.95,827.3,800.1,802.45,803.0,819.3,,802.45,,,777229,632028787.85,21897,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,578,INE060901027,LIKHITHA,EQ,,,,,LIKHITHA INFRASTRUC LTD,162.1,166.45,157.65,158.8,158.75,163.11,,158.8,,,53510,8558031.4,1808,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6951,INE802B01027,LINC,EQ,,,,,LINC LIMITED,107.31,111.01,104.0,104.57,105.84,107.31,,104.6,,,46816,5018955.37,2288,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11596,INE405C01035,LINCOLN,EQ,,,,,LINCOLN PHARMA LTD,458.0,462.95,450.2,453.1,454.0,460.35,,453.1,,,9729,4447326.75,575,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1627,INE473A01011,LINDEINDIA,EQ,,,,,LINDE INDIA LIMITED,5981.5,5981.5,5836.5,5863.5,5883.5,5981.5,,5863.4,,,14670,86188949.0,3720,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17801,INE093R01011,LLOYDSENGG,EQ,,,,,LLOYDS ENGG WORK LIMITED,46.48,46.48,42.63,43.12,43.05,46.19,,43.12,,,3437468,151776852.02,18524,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,25807,INE080I01025,LLOYDSENT,EQ,,,,,LLOYDS ENTERPRISES LTD,55.68,55.78,52.75,52.85,52.85,55.41,,52.85,,,945559,50939198.42,6823,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17313,INE281B01032,LLOYDSME,EQ,,,,,LLOYDS METALS N ENERGY L,1157.9,1158.0,1111.0,1115.5,1118.5,1152.1,,1115.5,,,277168,314457638.3,14346,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1979,INE269B01029,LMW,EQ,,,,,LMW LIMITED,14163.0,14281.0,14144.0,14195.0,14171.0,14203.0,,14195.0,,,1759,24985881.0,527,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,3220,INE670K01029,LODHA,EQ,,,,,LODHA DEVELOPERS LIMITED,945.5,947.9,892.7,900.3,900.4,945.5,,900.3,,,3143100,2869228996.6,65802,F1,1,,,,,
